Product,product_codes,product_desc,date_time,units_sold,price,discount,promotion,brand_loyalty,advertising,availability,pop_density,market_trends,weather,local_competitors,socio_status,geography,customer_demo,mobile_usage
Lenovo K8 Note,9313,Next-Gen Specs,2018-12-20,936.0,30.325292073522007,310.1093705592424,9.641303725620144,2.595516652915119,42.391247748015495,5,0.5224819822614165,4.384355144897084,2,30.137245172698165,1.1425730305874768,1.7933958445798768,-1.3991658526287425,5
Galaxy S10+,9337623,High-End Photography,2020-09-05,1057.0,3.6040935089282584,324.98279207714666,11.55394340467381,2.81671774839238,22.313810039762107,2,0.0871732641517634,2.942845437794874,7,18.192778113632485,3.9093568064514344,2.1776546884434707,-2.026432339255143,15
Huawei P30 Pro,9575769,All-in-One Package,2011-04-06,878.0,28.138470885832135,276.7944331848277,9.800020527485913,2.048864625087779,48.88695715233506,0,0.3700750446872699,10.793407139129814,6,4.300466920032106,3.0282392645780627,2.4834823739887892,2.1468922356806197,3
iPhone XR,6522,High-End Photography,2017-07-11,949.0,13.003604724786271,292.16866978786027,10.970827368874932,3.535028654266448,9.729735363560179,0,0.28028155171758573,0.6049504454128172,5,30.828302048897466,2.606269124095106,0.8516392372670702,1.5011052539975047,1
Pixel 3A XL,6522,Camera-Focused Phone,2015-08-27,760.0,112.66630871561256,281.9207099907524,14.065633643359355,3.526820663034857,17.76028300635901,0,0.03222249235454423,1.2743005401005625,0,15.179919413244374,7.438544790028054,0.6503173388121131,-0.5624224724227447,2
Oppo F11,9337623,High-Performance Smartphone,2020-08-19,1202.0,106.84579918528198,326.46278830446454,9.868399365042217,2.946358561103778,7.009803797538887,2,0.4306681738684549,2.534349529982353,3,34.94107488346058,3.4768248367200107,1.5562861766707343,-1.0948949907717522,2
Lenovo K8 Note,9188955,Highly Portable Phone,2017-02-15,1014.0,-38.74688650514213,335.43877285619953,10.854738747082017,2.7840896132887125,33.94360817861059,4,0.16674876937746397,7.3231851781958035,5,36.51272749541015,3.4003874682521076,0.22555711347407797,1.2224583880261772,10
Oppo F11,6522,Highly Portable Phone,2016-06-13,1383.0,-152.64338149556852,438.3794470697999,12.131308296802413,2.6813746959780955,7.595557791054329,0,0.1667412264558657,5.916730942791886,1,20.678656634836244,3.631161212763447,0.3427172514154661,1.710006542356849,15
Galaxy S10+,9225232,Camera-Focused Phone,2013-03-06,788.0,138.37905489512787,225.7638564290345,9.69279877813109,2.9471223379582256,11.504697187985178,2,0.389345570783134,3.0495539229087485,2,20.589418134215304,5.25232102273138,2.92626265734462,-0.8636292489122784,12
Lenovo K8 Note,9575769,High-End Photography,2017-12-25,570.0,8.146621665979978,220.36983947523254,4.890883779293204,2.050037547889874,8.723117517395057,2,0.12840793584788643,5.887221397950753,1,23.059570274225862,2.405710206304165,2.605635648621722,0.8342943440750398,2
Oppo F11,9254999,Powerful Device,2010-08-29,871.0,69.84041079892563,233.7773723731922,14.172837131033656,2.0189658579576655,12.42578646093506,3,0.19621637427336416,5.447436501103792,1,7.747904530232236,4.077398316390725,3.4812548681509274,1.0084364676718822,13
Pixel 3A XL,9288935,Designed for Gamers,2023-01-08,1206.0,-43.82417642019459,318.3132443634655,10.98771161352928,3.426457966306257,15.394270484033077,4,0.09963365244481719,0.36474908139909473,3,25.861799344773548,5.253169584041618,2.815981894402201,-0.6344849161528835,13
Galaxy S10+,9313,Designed for Gamers,2019-06-02,1354.0,-224.01132726401192,386.44493163375154,7.42594108223655,2.8451838750487735,5.25566802754994,0,0.4292923854788095,2.3753995807804396,2,8.24643335629969,2.763005149539928,1.5072698295511648,1.938642412903676,6
Xiaomi Pocophone F1,9254999,High-Performance Smartphone,2020-02-24,1160.0,-218.46489394646812,355.3961201691684,7.440061287422431,2.5006802429579067,16.231386606770705,2,0.30200242108950803,2.70921320359268,3,8.506939661000489,2.1482984443861937,1.9630563050227072,-0.2424429935352098,13
iPhone XR,9188955,On-the-Go Flagship Phone,2011-12-03,1004.0,58.58266940911358,294.3096459477264,10.143774241708256,3.1420539082159475,28.03574631823611,5,0.370881069400411,4.158385930293035,3,24.895291211775785,3.6321046392234893,1.5714580010740458,1.9062064501538811,8
Pixel 3A XL,9254999,Camera-Focused Phone,2023-12-11,1225.0,-8.691755797515839,368.9982827979042,11.238688780182406,2.7422765742857114,24.26135487157504,1,0.13782113158940595,2.938685928971091,2,12.936616090523415,3.0955426097366594,3.515539518241566,0.35045300683790065,12
Pixel 3A XL,6522,Camera-Focused Phone,2018-01-12,886.0,145.40484668747422,277.37535318328963,11.857031494060926,3.8635636622883283,18.8395098580483,9,0.04366696171718766,4.0723731686065685,1,2.6206390782012763,1.6699342456193043,1.2902401981923353,2.5182621340385114,5
Pixel 3A XL,9403029,Powerful Device,2011-02-17,912.0,-54.354390057896126,279.73085942207143,7.061180041578938,3.424243888709526,17.93956494382794,1,0.3801813386500114,3.5039392749257305,4,18.60712200755347,3.033519037680665,1.670841274135181,0.16090191008242888,10
